study,case_id,charge_weight_kg,distance_m,observed_ppv_mm_s,charge_basis,ppv_basis,source_url
Limestone 2025,LIME-2025-23,64.8,20.0,108.2,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-24,129.6,20.0,151.5,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-25,129.6,10.0,479.5,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-26,129.6,10.0,479.5,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-27,118.71,18.0,213.1,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-28,118.71,22.0,152.7,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-29,118.71,15.0,288.6,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-30,167.55,14.5,406.70000000000005,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-31,167.55,31.0,115.0,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-32,167.55,12.6,514.3,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-33,141.44,13.0,423.6,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-34,141.44,16.0,300.0,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-35,141.44,30.0,105.5,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-36,141.5,25.0,142.89999999999998,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-37,141.5,20.0,207.0,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
Limestone 2025,LIME-2025-38,141.5,21.0,190.9,Qmax reported in Table 2,Published PPV,https://www.nature.com/articles/s41598-025-90242-6
